type,name,amount,date,description,category,account,color,icon,limit,month,accounttype
account,💳 Chase Checking,2500.00,,,,,#3B82F6,,,,checking
account,💎 Capital One Credit,0.00,,,,,#8B5CF6,,,,credit
account,🏦 Bank of America Savings,5000.00,,,,,#10B981,,,,savings
category,Food,,,,,#EF4444,🍔,,,
category,Transportation,,,,,#3B82F6,🚌,,,
category,Entertainment,,,,,#A855F7,🎮,,,
category,Groceries,,,,,#10B981,🛒,,,
category,Bills & Utilities,,,,,#F59E0B,💡,,,
category,Income,,,,,#22C55E,💼,,,
category,Shopping,,,,,#EC4899,🛍️,,,
category,Health & Fitness,,,,,#14B8A6,💪,,,
budget,,500.00,,,Food,,,,500.00,2025-02,
budget,,200.00,,,Transportation,,,,200.00,2025-02,
budget,,300.00,,,Entertainment,,,,300.00,2025-02,
budget,,600.00,,,Groceries,,,,600.00,2025-02,
budget,,400.00,,,Bills & Utilities,,,,400.00,2025-02,
income,,3500.00,2025-01-15,Monthly salary deposit 💰,Income,💳 Chase Checking,,,,
expense,,45.99,2025-01-16,Lunch at Chipotle 🌯,Food,💳 Chase Checking,,,,
expense,,12.50,2025-01-16,Uber ride to downtown 🚕,Transportation,💳 Chase Checking,,,,
expense,,125.80,2025-01-17,Weekly grocery shopping at Whole Foods 🥑,Groceries,💎 Capital One Credit,,,,
expense,,89.99,2025-01-18,Movie tickets and popcorn 🍿,Entertainment,💎 Capital One Credit,,,,
expense,,6.75,2025-01-18,Morning coffee at Starbucks ☕,Food,💳 Chase Checking,,,,
expense,,150.00,2025-01-19,Internet and phone bill 📱,Bills & Utilities,🏦 Bank of America Savings,,,,
expense,,55.00,2025-01-20,Pizza delivery night 🍕,Food,💎 Capital One Credit,,,,
expense,,18.99,2025-01-21,Gas station fill-up ⛽,Transportation,💳 Chase Checking,,,,
income,,250.00,2025-01-22,Freelance project payment 💻,Income,💳 Chase Checking,,,,
expense,,199.99,2025-01-22,New video game purchase 🎮,Entertainment,💎 Capital One Credit,,,,
expense,,78.50,2025-01-23,Farmers market produce 🥬,Groceries,💳 Chase Checking,,,,
expense,,32.00,2025-01-24,Sushi dinner 🍱,Food,💎 Capital One Credit,,,,
expense,,120.00,2025-01-25,Electric bill payment ⚡,Bills & Utilities,🏦 Bank of America Savings,,,,
expense,,15.99,2025-01-26,Netflix subscription 📺,Entertainment,💳 Chase Checking,,,,
expense,,42.30,2025-01-27,Brunch with friends 🥞,Food,💳 Chase Checking,,,,
expense,,95.00,2025-01-28,Costco bulk shopping 🛒,Groceries,💎 Capital One Credit,,,,
expense,,8.50,2025-01-29,Bus pass top-up 🚌,Transportation,💳 Chase Checking,,,,
expense,,67.25,2025-01-30,Thai takeout 🥡,Food,💎 Capital One Credit,,,,
income,,3500.00,2025-02-01,Monthly salary deposit 💰,Income,💳 Chase Checking,,,,
expense,,180.00,2025-02-02,Water and trash services 💧,Bills & Utilities,🏦 Bank of America Savings,,,,
expense,,45.00,2025-02-03,Breakfast cafe 🥐,Food,💳 Chase Checking,,,,
expense,,29.99,2025-02-04,Concert streaming ticket 🎵,Entertainment,💎 Capital One Credit,,,,
expense,,110.50,2025-02-05,Weekly groceries at Trader Joe's 🛍️,Groceries,💳 Chase Checking,,,,
expense,,22.00,2025-02-06,Lyft to airport 🛫,Transportation,💳 Chase Checking,,,,
income,,500.00,2025-02-07,Tax refund deposit 💵,Income,🏦 Bank of America Savings,,,,
expense,,156.75,2025-02-08,Restaurant dinner date 🍷,Food,💎 Capital One Credit,,,,
expense,,38.99,2025-02-09,Bookstore haul 📚,Shopping,💳 Chase Checking,,,,
expense,,72.00,2025-02-10,Asian supermarket shopping 🍜,Groceries,💎 Capital One Credit,,,,
expense,,14.25,2025-02-11,Smoothie and protein bar 🥤,Food,💳 Chase Checking,,,,
expense,,200.00,2025-02-12,Car insurance payment 🚗,Bills & Utilities,🏦 Bank of America Savings,,,,
expense,,51.80,2025-02-13,Mexican restaurant 🌮,Food,💎 Capital One Credit,,,,
expense,,89.99,2025-02-14,Valentine's Day flowers 💐,Shopping,💳 Chase Checking,,,,
income,,150.00,2025-02-15,Cashback rewards 🎁,Income,💳 Chase Checking,,,,
expense,,65.00,2025-02-16,Gym membership 🏋️,Health & Fitness,💳 Chase Checking,,,,
expense,,24.99,2025-02-17,Vitamins and supplements 💊,Health & Fitness,💎 Capital One Credit,,,,
